"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.385305917E0,-2.398013306E0,3.986659698E0,-3.451821899E-1,4.665091008E0
2.395249917E0,2.356998596E0,-1.492845612E0,3.386856995E0,4.388032669E0
2.405193917E0,6.942263489E0,-5.582341461E0,7.946225739E0,1.193733898E1
2.415137917E0,1.138053406E1,-8.327632599E0,1.247176483E1,1.882580511E1
2.425081917E0,1.487112534E1,-1.049063461E1,1.672606796E1,2.471770889E1
2.435025917E0,1.698353256E1,-1.153815628E1,2.031051407E1,2.888055419E1
2.444969917E0,1.850407059E1,-1.117995117E1,2.256153305E1,3.124763527E1
2.454913917E0,1.800770279E1,-1.067100952E1,2.195125214E1,3.033158872E1
2.464857917E0,1.507155853E1,-9.978549500E0,1.849538864E1,2.586122054E1
2.474801917E0,8.810827789E0,-8.763077087E0,1.265004410E1,1.773262028E1
2.484744917E0,2.492766266E0,-6.659052429E0,6.656358032E0,9.739813405E0
2.494688917E0,-3.357667694E0,-3.638932800E0,1.438658295E0,5.156113067E0
2.504632917E0,-9.357640686E0,1.274000702E0,-3.355422363E0,1.002234385E1
2.514576917E0,-1.396700546E1,6.499783630E0,-6.972650299E0,1.690982794E1
2.524520917E0,-1.634930145E1,1.023257126E1,-9.063951416E0,2.131103911E1
2.534464917E0,-1.521466095E1,1.380414413E1,-1.093970078E1,2.327482237E1
2.544408917E0,-1.170535858E1,1.613479752E1,-1.266785706E1,2.361824957E1
2.554352917E0,-8.515791321E0,1.618314697E1,-1.426039536E1,2.318990779E1
2.564296917E0,-5.339097290E0,1.541868668E1,-1.515014511E1,2.226586526E1
2.574240917E0,-3.192860413E0,1.447639618E1,-1.523846146E1,2.125961221E1
2.584184917E0,-2.225122833E0,1.335028793E1,-1.455632996E1,1.987632012E1
2.594128917E0,-1.524280243E0,1.201611237E1,-1.385788239E1,1.840519739E1
2.604072917E0,-1.100212097E-1,1.032687515E1,-1.400727173E1,1.740287667E1
2.614016833E0,2.063908081E0,8.421487427E0,-1.441188034E1,1.681913975E1
2.623960833E0,4.580175476E0,6.184838562E0,-1.507275604E1,1.692389465E1
2.633904833E0,7.775131531E0,3.149899750E0,-1.642369675E1,1.844213528E1
2.643848833E0,1.215232910E1,2.073188782E-1,-1.687411011E1,2.079561674E1
2.653792833E0,1.599184479E1,-1.667682037E0,-1.543530212E1,2.228831117E1
2.663736833E0,1.740206223E1,-2.925965424E0,-1.309566742E1,2.197474797E1
2.673680833E0,1.742017456E1,-3.933071136E0,-1.009560608E1,2.051469699E1
2.683624833E0,1.738574615E1,-3.660038910E0,-6.764283600E0,1.901093335E1
2.693568833E0,1.641965515E1,-2.027833099E0,-4.605772247E0,1.717353546E1
2.703512833E0,1.213900681E1,-6.649172974E-1,-4.129013672E0,1.283925057E1
2.713456833E0,4.995561676E0,1.296454010E0,-5.086722107E0,7.246459222E0
2.723400833E0,-2.325264587E0,4.358636169E0,-5.773793335E0,7.598766619E0
2.733344833E0,-9.352551270E0,7.739056549E0,-5.899232483E0,1.349682020E1
2.743288833E0,-1.371193588E1,1.074226135E1,-3.985462189E0,1.786889122E1
2.753231833E0,-1.651336029E1,1.359203522E1,3.376977539E-1,2.139038404E1
2.763175833E0,-1.815349960E1,1.627535522E1,4.467908936E0,2.478707215E1
2.773119833E0,-1.861738495E1,1.807431427E1,6.087989960E0,2.665241979E1
2.783063833E0,-1.817969513E1,1.828163315E1,4.825515289E0,2.622984985E1
2.793007833E0,-1.668490356E1,1.705837692E1,1.239871674E0,2.389375466E1
2.802951833E0,-1.411429916E1,1.566492462E1,-2.414179688E0,2.122337315E1
2.812895833E0,-1.081486038E1,1.356239685E1,-5.196443939E0,1.810808778E1
2.822839833E0,-7.096442871E0,1.177451477E1,-6.999893646E0,1.542715821E1
2.832783833E0,-3.927981720E0,1.021835083E1,-7.676037598E0,1.337031366E1
2.842727833E0,-1.726210327E0,8.732839966E0,-7.775131531E0,1.181926251E1
2.852671833E0,-5.827381897E-1,7.143445129E0,-7.587721252E0,1.043752394E1
2.862615833E0,1.603166199E-1,5.131179657E0,-7.507937164E0,9.095263963E0
2.872559833E0,1.645528107E0,2.323767700E0,-7.592361603E0,8.108736880E0
2.882502833E0,4.551435242E0,-8.726852417E-1,-7.786807251E0,9.061540126E0
2.892446833E0,8.996741180E0,-3.748504944E0,-8.590336304E0,1.299178660E1
2.902390833E0,1.348590591E1,-6.320905609E0,-9.518256683E0,1.767542691E1
2.912334833E0,1.703876770E1,-7.968379669E0,-1.009321106E1,2.134684025E1
2.922278833E0,1.953587494E1,-8.746910706E0,-1.010758118E1,2.367112278E1
